DI,StructuralIntegrity,ExteriorCharm
278,5,Common
279,5,Common
280,6,Common
281,5,Gleaming
282,5,Common
283,5,Common
284,5,Gleaming
285,6,Common
286,3,Modest
287,6,Common
288,5,Gleaming
289,5,Common
290,5,Gleaming
291,6,Common
292,9,Common
293,7,Common
294,5,Gleaming
295,5,Gleaming
296,6,Common
297,5,Gleaming
298,5,Common
299,5,Gleaming
300,4,Common
301,5,Gleaming
302,5,Common
303,5,Enchanting
304,5,Common
305,5,Common
306,5,Gleaming
307,5,Gleaming
308,1,Common
309,5,Enchanting
310,5,Common
311,7,Gleaming
312,6,Common
313,7,Common
314,4,Common
315,6,Common
316,3,Common
317,6,Common
318,5,Common
319,5,Common
320,5,Common
321,5,Common
322,5,Gleaming
323,6,Common
324,7,Common
325,5,Common
326,5,Common
327,6,Common
328,5,Common
329,6,Common
330,7,Common
331,5,Common
332,7,Common
333,6,Common
334,7,Common
335,5,Gleaming
336,6,Common
337,6,Common
338,5,Common
339,5,Common
340,6,Common
341,7,Common
342,5,Gleaming
343,4,Common
344,6,Gleaming
345,6,Common
346,6,Common
347,5,Gleaming
348,5,Common
349,5,Gleaming
350,5,Gleaming
351,6,Common
352,5,Common
353,5,Common
354,5,Common
355,5,Gleaming
356,5,Common
357,5,Gleaming
358,7,Common
359,5,Gleaming
360,3,Common
361,7,Common
362,4,Common
363,5,Common
364,5,Common
365,5,Common
366,5,Common
367,5,Common
368,4,Common
369,4,Common
370,5,Gleaming
371,4,Common
372,5,Common
373,5,Common
374,6,Common
375,5,Gleaming
376,5,Gleaming
377,5,Common
378,5,Enchanting
379,5,Gleaming
380,5,Gleaming
381,7,Common
382,8,Common
383,4,Common
384,6,Common
385,5,Common
386,5,Gleaming
387,8,Gleaming
388,6,Common
389,6,Common
390,5,Gleaming
391,5,Common
392,8,Gleaming
393,5,Gleaming
394,4,Common
395,3,Common
396,8,Common
397,6,Gleaming
398,5,Gleaming
399,5,Gleaming
400,5,Gleaming
401,5,Gleaming
402,7,Common
403,5,Gleaming
404,5,Common
405,5,Common
406,5,Enchanting
407,7,Common
408,5,Gleaming
409,5,Common
410,3,Common
411,5,Gleaming
412,6,Common
413,5,Common
414,6,Common
415,6,Common
416,5,Common
417,7,Common
418,6,Common
419,5,Common
420,5,Gleaming
421,5,Common
422,5,Common
423,6,Common
424,6,Common
425,6,Common
426,6,Common
427,6,Common
428,7,Common
429,5,Gleaming
430,6,Common
431,7,Gleaming
432,2,Gleaming
433,5,Gleaming
434,5,Gleaming
435,7,Common
436,6,Common
437,5,Gleaming
438,5,Common
439,3,Modest
440,8,Common
441,5,Common
442,5,Common
443,5,Gleaming
444,6,Common
445,4,Common
446,8,Common
447,7,Gleaming
448,5,Gleaming
449,8,Common
450,7,Common
451,5,Common
452,5,Gleaming
453,5,Common
454,7,Common
455,5,Gleaming
456,5,Gleaming
457,6,Common
458,5,Common
459,5,Common
460,5,Gleaming
461,6,Gleaming
462,5,Common
463,7,Common
464,6,Common
465,5,Common
466,7,Common
467,5,Gleaming
468,8,Common
469,5,Common
470,7,Common
471,7,Common
472,5,Common
473,6,Common
474,5,Common
475,8,Common
476,5,Common
477,6,Common
478,5,Gleaming
479,4,Common
480,5,Gleaming
481,5,Common
482,5,Gleaming
483,5,Gleaming
484,7,Common
485,5,Common
486,5,Gleaming
487,5,Gleaming
488,5,Common
489,6,Common
490,5,Common
491,5,Gleaming
492,6,Gleaming
493,5,Gleaming
494,6,Common
495,7,Common
496,8,Gleaming
497,6,Common
498,5,Common
499,5,Gleaming
500,6,Common
501,5,Common
502,6,Common
503,5,Gleaming
504,8,Common
505,7,Common
506,6,Common
507,6,Common
508,7,Common
509,4,Common
510,7,Gleaming
511,5,Gleaming
512,7,Common
513,8,Common
514,4,Common
515,7,Common
516,5,Enchanting
517,5,Gleaming
518,5,Gleaming
519,8,Common
520,6,Common
521,6,Common
522,6,Common
523,6,Gleaming
524,5,Enchanting
525,5,Enchanting
526,5,Common
527,5,Gleaming
528,5,Gleaming
529,6,Common
530,7,Common
531,6,Modest
532,5,Gleaming
533,6,Common
534,6,Common
535,6,Common
536,9,Common
537,5,Gleaming
538,5,Gleaming
539,5,Gleaming
540,5,Common
541,5,Gleaming
542,1,Common
543,5,Common
544,6,Common
545,8,Common
546,5,Gleaming
547,6,Common
548,6,Common
548,6,Common
549,5,Gleaming
550,7,Common
551,5,Common
552,7,Gleaming
553,5,Common
554,5,Common
555,5,Gleaming
556,7,Common
557,7,Common
558,6,Common
559,5,Gleaming
560,6,Common
561,5,Common
562,4,Common
563,5,Common
564,8,Common
565,4,Common
566,5,Gleaming
567,5,Gleaming
568,5,Gleaming
569,5,Gleaming
570,5,Gleaming
571,5,Common
572,5,Gleaming
573,5,Common
574,5,Common
575,5,Common
576,5,Common
577,3,Common
578,5,Gleaming
579,6,Common
580,7,Common
581,7,Common
582,5,Gleaming
583,5,Common
584,4,Common
585,5,Gleaming
586,5,Gleaming
587,5,Gleaming
588,5,Gleaming
589,5,Gleaming
590,6,Common
591,4,Common
592,5,Gleaming
593,6,Common
594,6,Common
595,5,Gleaming
596,6,Common
597,4,Common
598,5,Common
599,5,Common
600,5,Common
601,5,Common
602,5,Common
603,8,Common
604,5,Gleaming
605,4,Common
606,6,Common
607,8,Gleaming
608,6,Common
609,5,Gleaming
610,5,Gleaming
611,5,Gleaming
612,5,Gleaming
613,5,Common
614,5,Gleaming
615,9,Gleaming
616,6,Gleaming
617,5,Gleaming
618,6,Common
619,6,Common
620,5,Common
621,6,Common
622,5,Gleaming
623,5,Common
624,5,Gleaming
625,5,Common
626,7,Common
627,5,Common
628,5,Gleaming
629,5,Gleaming
630,5,Common
631,8,Common
632,7,Common
633,5,Gleaming
634,5,Common
635,7,Common
636,5,Gleaming
637,2,Modest
638,6,Common
639,6,Gleaming
640,6,Common
641,5,Common
642,5,Gleaming
643,6,Common
644,5,Gleaming
645,7,Common
646,5,Gleaming
647,6,Common
648,5,Common
649,5,Common
650,9,Gleaming
651,5,Common
652,5,Common
653,5,Gleaming
654,5,Common
655,5,Gleaming
656,5,Common
657,5,Enchanting
658,5,Gleaming
659,3,Common
660,5,Gleaming
661,5,Common
662,4,Common
663,6,Common
663,6,Common
664,6,Common
665,6,Common
666,3,Common
667,3,Common
668,5,Gleaming
669,6,Common
670,5,Enchanting
671,5,Gleaming
672,5,Common
673,6,Common
674,9,Gleaming
675,5,Common
676,5,Common
677,8,Common
678,7,Common
678,7,Common
679,5,Enchanting
680,5,Common
681,5,Common
682,5,Gleaming
683,5,Gleaming
684,5,Gleaming
685,8,Common
686,5,Gleaming
687,5,Gleaming
688,6,Gleaming
689,5,Common
690,5,Common
691,5,Gleaming
692,6,Common
693,4,Common
694,8,Common
695,5,Enchanting
696,6,Common
697,9,Common
698,6,Common
699,9,Enchanting
700,5,Gleaming
701,5,Common
702,8,Common
703,5,Common
704,3,Common
705,7,Common
706,7,Common
707,6,Common
708,5,Common
709,8,Gleaming
710,5,Gleaming
711,5,Gleaming
712,7,Common
713,7,Common
714,5,Gleaming
715,8,Common
716,5,Gleaming
717,6,Common
718,7,Common
719,7,Common
720,5,Gleaming
721,5,Gleaming
722,7,Common
723,8,Gleaming
724,5,Common
725,5,Gleaming
726,5,Common
727,5,Common
728,5,Common
729,5,Common
730,6,Common
731,5,Gleaming
732,5,Gleaming
733,5,Gleaming
734,5,Common
735,5,Enchanting
736,5,Enchanting
737,5,Common
738,5,Gleaming
739,7,Common
740,6,Common
741,5,Common
742,5,Gleaming
743,7,Common
744,5,Common
745,6,Common
746,6,Common
747,5,Common
748,6,Common
749,5,Common
750,5,Gleaming
751,5,Common
752,5,Gleaming
753,5,Gleaming
754,7,Common
755,5,Common
756,5,Common
757,5,Common
758,5,Gleaming
759,6,Common
760,6,Common
761,7,Common
762,5,Gleaming
763,6,Gleaming
764,7,Common
765,5,Gleaming
766,7,Common
767,5,Gleaming
768,7,Common
769,8,Common
770,4,Common
771,5,Enchanting
772,5,Gleaming
773,5,Gleaming
774,5,Gleaming
775,5,Enchanting
776,5,Gleaming
777,6,Common
778,5,Gleaming
779,6,Gleaming
780,8,Common
781,5,Gleaming
782,5,Common
783,7,Gleaming
784,5,Common
785,5,Common
786,6,Common
787,6,Common
788,5,Common
789,5,Common
790,5,Gleaming
791,5,Gleaming
792,3,Common
793,5,Common
794,5,Common
795,6,Common
796,5,Common
797,5,Gleaming
798,5,Common
799,5,Gleaming
800,5,Gleaming
801,8,Common
802,5,Common
803,7,Common
804,6,Common
805,5,Common
806,4,Common
807,5,Gleaming
808,7,Common
809,5,Enchanting
810,5,Gleaming
811,5,Gleaming
812,5,Enchanting
813,6,Common
814,4,Common
815,8,Common
816,5,Common
817,7,Common
818,5,Gleaming
819,7,Common
820,5,Common
821,5,Common
822,5,Common
823,7,Common
824,6,Gleaming
825,5,Gleaming
826,5,Gleaming
827,5,Gleaming
828,5,Common
829,5,Gleaming
830,5,Common
831,5,Common
832,5,Common
833,7,Common
834,5,Common
835,5,Gleaming
836,5,Common
837,5,Enchanting
838,6,Common
839,5,Enchanting
839,5,Enchanting
840,6,Gleaming
841,5,Gleaming
842,7,Common
843,5,Common
844,7,Common
845,8,Enchanting
846,4,Common
847,5,Common
848,5,Common
849,5,Common
850,5,Gleaming
851,7,Common
852,5,Common
853,7,Gleaming
854,5,Common
855,5,Common
856,5,Enchanting
857,6,Common
858,5,Gleaming
859,8,Common
860,5,Common
861,5,Gleaming
862,5,Gleaming
863,7,Gleaming
864,5,Common
865,7,Common
866,6,Common
867,5,Enchanting
868,5,Gleaming
869,5,Common
870,5,Common
871,4,Common
872,5,Gleaming
873,5,Gleaming
874,6,Common
875,5,Gleaming
876,5,Gleaming
877,6,Common
878,6,Common
879,5,Gleaming
880,8,Common
881,6,Common
882,5,Common
883,7,Common
884,5,Gleaming
885,5,Gleaming
886,6,Common
887,5,Common
888,6,Common
889,6,Common
890,7,Common
891,5,Common
892,7,Common
893,5,Common
894,6,Common
895,4,Common
896,5,Common
897,5,Common
898,7,Common
899,5,Gleaming
900,5,Common
901,5,Gleaming
902,7,Common
903,7,Gleaming
904,8,Gleaming
905,6,Common
906,6,Common
907,5,Common
908,5,Gleaming
909,8,Gleaming
910,5,Gleaming
911,6,Common
912,6,Common
913,5,Enchanting
914,5,Gleaming
915,4,Common
916,7,Common
917,7,Common
918,5,Gleaming
919,5,Gleaming
920,5,Common
921,7,Gleaming
922,5,Gleaming
923,5,Gleaming
924,7,Common
925,7,Common
926,5,Gleaming
927,5,Gleaming
927,5,Gleaming
928,6,Common
929,6,Common
930,5,Gleaming
931,5,Gleaming
932,5,Gleaming
933,6,Gleaming
934,5,Common
935,5,Common
936,6,Common
937,5,Common
938,5,Gleaming
939,6,Common
940,6,Common
941,5,Gleaming
942,7,Common
943,5,Gleaming
944,5,Enchanting
945,5,Gleaming
946,5,Gleaming
947,5,Gleaming
948,5,Common
949,8,Common
950,5,Gleaming
951,8,Common
952,5,Common
953,5,Common
954,6,Common
955,5,Gleaming
956,5,Common
957,6,Common
958,4,Common
959,6,Common
960,6,Common
961,6,Common
962,5,Gleaming
963,7,Common
964,5,Common
965,5,Common
966,6,Common
967,7,Common
968,6,Common
969,5,Gleaming
970,5,Common
971,7,Common
972,3,Common
973,4,Common
974,7,Common
975,5,Common
976,6,Common
977,5,Gleaming
978,5,Modest
979,3,Modest
980,5,Gleaming
981,9,Common
982,5,Common
983,9,Common
984,4,Common
985,3,Modest
986,5,Modest
987,6,Common
988,5,Gleaming
989,5,Gleaming
990,7,Common
991,5,Common
992,5,Gleaming
993,5,Gleaming
994,8,Gleaming
995,5,Common
996,5,Common
997,8,Gleaming
998,5,Common
999,7,Common
1000,5,Common
1001,5,Gleaming
1002,6,Common
1003,5,Gleaming
1004,5,Common
1005,7,Gleaming
1006,7,Modest
1007,5,Gleaming
1008,5,Gleaming
1009,5,Gleaming
1010,6,Common
1011,5,Common
1012,7,Common
1013,5,Gleaming
1014,7,Common
1015,5,Common
1016,8,Common
1017,6,Common
1018,5,Common
1019,7,Common
1020,8,Common
1021,5,Gleaming
1022,7,Common
1023,5,Common
1024,5,Gleaming
1025,8,Common
1026,5,Enchanting
1027,5,Gleaming
1028,5,Gleaming
1029,5,Common
1030,5,Enchanting
1031,5,Gleaming
1032,5,Common
1033,5,Gleaming
1034,7,Common
1035,5,Gleaming
1036,4,Common
1037,5,Gleaming
1038,7,Gleaming
1039,5,Gleaming
1040,5,Common
1041,6,Common
1042,5,Common
1043,5,Gleaming
1044,5,Gleaming
1045,7,Common
1046,5,Gleaming
1047,5,Gleaming
1048,5,Gleaming
1049,5,Common
1050,7,Common
1051,5,Common
1052,5,Gleaming
1053,5,Gleaming
1054,7,Common
1055,7,Common
1056,5,Common
1057,5,Common
1058,5,Common
1059,5,Gleaming
1060,5,Common
1061,5,Gleaming
1061,5,Gleaming
1062,5,Modest
1063,5,Common
1064,6,Common
1065,7,Common
1066,7,Common
1067,8,Common
1068,5,Common
1069,6,Common
1070,6,Common
1071,5,Gleaming
1072,6,Common
1073,5,Gleaming
1074,6,Common
1075,5,Common
1076,5,Gleaming
1077,5,Gleaming
1078,7,Common
1079,8,Gleaming
1080,7,Common
1081,5,Common
1082,5,Common
1083,5,Gleaming
1084,4,Common
1085,5,Gleaming
1086,6,Common
1086,6,Common
1087,5,Gleaming
1088,5,Common
1089,5,Common
1090,7,Common
1091,5,Common
1092,5,Common
1093,5,Common
1094,7,Common
1095,5,Gleaming
1096,5,Gleaming
1097,5,Common
1098,6,Common
1099,5,Gleaming
1100,5,Gleaming
1101,3,Common
1102,6,Common
1103,5,Gleaming
1104,7,Common
1105,5,Common
1106,5,Common
1107,7,Common
1108,5,Gleaming
1109,5,Common
1110,5,Gleaming
1111,7,Gleaming
1112,7,Common
1113,7,Common
1114,5,Gleaming
1115,6,Common
1116,5,Gleaming
1117,5,Gleaming
1118,6,Common
1119,5,Common
1120,5,Gleaming
1121,5,Common
1122,7,Common
1123,7,Common
1124,6,Common
1125,5,Gleaming
1126,5,Common
1127,5,Common
1128,3,Common
1129,5,Gleaming
1130,5,Gleaming
1131,5,Common
1132,7,Common
1133,5,Gleaming
1134,4,Common
1135,5,Gleaming
1136,6,Common
1137,5,Gleaming
1138,6,Gleaming
1139,7,Common
1140,9,Common
1141,5,Common
1142,5,Common
1143,5,Gleaming
1144,5,Common
1145,8,Common
1146,5,Gleaming
1147,5,Common
1148,7,Gleaming
1149,5,Gleaming
1150,4,Common
1151,6,Common
1152,5,Gleaming
1153,5,Gleaming
1154,6,Common
1155,8,Common
1156,5,Common
1157,7,Common
1158,3,Common
1159,6,Common
1160,5,Gleaming
1161,5,Gleaming
1162,5,Gleaming
1163,5,Gleaming
1164,6,Common
1165,8,Gleaming
1166,5,Gleaming
1167,5,Gleaming
1168,5,Common
1169,5,Gleaming
1170,5,Gleaming
1171,7,Common
1172,7,Common
1173,5,Gleaming
1174,4,Common
1175,4,Common
1176,5,Gleaming
1177,5,Common
1178,5,Common
1179,5,Gleaming
1180,5,Common
1181,5,Common
1182,9,Gleaming
1183,5,Gleaming
1184,5,Common
1185,5,Common
1186,4,Common
1187,5,Gleaming
1188,7,Common
1189,8,Common
1190,4,Common
1191,6,Common
1192,5,Gleaming
1193,5,Gleaming
1194,5,Common
1195,5,Common
1196,5,Gleaming
1197,8,Common
1198,5,Gleaming
1199,6,Common
1200,7,Gleaming
1201,5,Gleaming
1202,7,Common
1203,7,Common
1204,5,Common
1205,6,Gleaming
1206,6,Common
1207,8,Common
1208,5,Common
1209,7,Common
1210,5,Gleaming
1211,5,Common
1212,5,Common
1213,6,Gleaming
1213,6,Gleaming
1214,8,Common
1215,5,Common
1216,5,Gleaming
1217,7,Common
1218,5,Gleaming
1219,7,Common
1220,5,Gleaming
1221,5,Gleaming
1222,5,Gleaming
1223,5,Common
1224,5,Common
1225,5,Gleaming
1226,4,Common
1227,9,Gleaming
1228,5,Common
1229,9,Enchanting
1230,5,Enchanting
1231,6,Common
1232,5,Gleaming
1233,9,Common
1234,5,Common
1235,7,Common
1236,5,Common
1237,5,Common
1238,6,Common
1239,7,Common
1240,6,Common
1241,6,Modest
1242,8,Common
1243,7,Common
1244,4,Common
1245,5,Gleaming
1246,5,Gleaming
1247,5,Gleaming
1248,7,Common
1249,5,Common
1250,8,Common
1251,5,Gleaming
1252,7,Common
1253,6,Common
1254,5,Common
1255,6,Common
1256,5,Gleaming
1257,5,Gleaming
1258,5,Gleaming
1259,5,Gleaming
1260,5,Gleaming
1261,6,Common
1262,5,Common
1263,5,Enchanting
1264,5,Gleaming
1265,7,Common
1266,4,Common
1267,7,Common
1268,4,Common
1269,6,Common
1270,5,Gleaming
1271,5,Gleaming
1272,7,Common
1273,5,Common
1274,5,Gleaming
1275,7,Modest
1276,5,Common
1277,6,Common
1278,5,Gleaming
1279,5,Gleaming
1280,4,Modest
1281,6,Common
1282,5,Gleaming
1283,5,Modest
1284,5,Gleaming
1285,5,Gleaming
1286,5,Gleaming
1287,5,Gleaming
1288,5,Gleaming
1289,6,Common
1290,5,Common
1291,6,Common
1292,6,Common
1293,6,Common
1294,5,Gleaming
1295,6,Common
1296,4,Common
1297,7,Common
1298,5,Common
1299,5,Common
1300,5,Gleaming
1301,5,Common
1302,6,Common
1303,5,Enchanting
1304,5,Common
1305,5,Common
1306,5,Gleaming
1307,5,Gleaming
1308,7,Common
1309,5,Enchanting
1310,6,Common
1311,5,Common
1312,7,Common
1313,6,Gleaming
1314,6,Common
1315,6,Common
1316,7,Common
1317,6,Common
1318,5,Gleaming
1319,6,Common
1320,7,Common
1321,5,Gleaming
1322,7,Common
1323,8,Gleaming
1324,5,Common
1325,5,Common
1326,6,Common
1327,5,Common
1328,7,Common
1329,5,Common
1330,8,Common
1331,7,Gleaming
1332,5,Common
1333,5,Gleaming
1334,5,Gleaming
1335,5,Gleaming
1336,6,Common
1337,6,Common
1338,5,Common
1339,5,Gleaming
1340,6,Common
1341,5,Common
1342,7,Common
1343,5,Gleaming
1344,5,Gleaming
1345,7,Common
1346,5,Common
1347,5,Common
1348,5,Common
1349,6,Modest
1350,7,Gleaming
1351,5,Common
1352,5,Common
1353,5,Common
1354,7,Common
1355,6,Common
1356,5,Gleaming
1357,3,Common
1358,5,Common
1359,7,Common
1360,8,Gleaming
1361,5,Gleaming
1362,5,Common
1363,9,Gleaming
1364,5,Gleaming
1365,5,Gleaming
1366,5,Gleaming
1367,5,Common
1368,5,Gleaming
1369,5,Gleaming
1370,5,Common
1371,7,Common
1372,5,Enchanting
1373,6,Common
1374,5,Common
1375,5,Enchanting
1376,5,Gleaming
1377,5,Gleaming
1378,5,Common
1379,5,Gleaming
1380,5,Gleaming
1381,5,Gleaming
1382,5,Gleaming
1383,7,Gleaming
1384,5,Gleaming
1385,7,Common
1386,5,Common
1387,6,Common
1388,8,Common
1389,5,Gleaming
1390,6,Common
1391,5,Common
1392,5,Common
1393,5,Common
1394,7,Common
1395,5,Enchanting
1396,5,Common
1396,5,Common
1397,5,Enchanting
1398,5,Gleaming
1399,6,Common
1400,5,Gleaming
1401,4,Common
1402,5,Gleaming
1403,5,Gleaming
1404,7,Common
1405,5,Gleaming
1406,5,Common
1407,5,Gleaming
1408,7,Gleaming
1409,5,Gleaming
1410,6,Common
1411,5,Common
1412,5,Gleaming
1413,5,Common
1414,6,Common
1415,5,Common
1416,5,Common
1417,5,Common
1418,6,Common
1419,7,Common
1420,6,Common
1421,5,Common
1422,5,Gleaming
1423,5,Gleaming
1424,5,Gleaming
1425,5,Common
1426,7,Common
1427,6,Common
1428,6,Common
1429,7,Gleaming
1430,3,Common
1431,5,Gleaming
1432,5,Common
1433,5,Common
1434,5,Common
1435,6,Common
1436,7,Common
1437,5,Common
1438,7,Common
1439,5,Common
1440,4,Common
1441,5,Common
1442,5,Gleaming
1443,5,Gleaming
1443,5,Gleaming
1444,5,Enchanting
1445,7,Common
1446,6,Common
1447,5,Enchanting
1448,6,Common
1449,4,Modest
1450,4,Common
1451,5,Gleaming
1452,7,Common
1453,7,Common
1454,5,Gleaming
1455,5,Enchanting
1456,8,Common
1457,5,Gleaming
1458,5,Enchanting
1459,6,Common
1460,5,Gleaming
1461,5,Common
1462,8,Common
1463,5,Gleaming
1464,5,Gleaming
1465,8,Gleaming
1466,8,Common
1467,5,Enchanting
1468,6,Common
1469,7,Common
1470,5,Common
1471,5,Common
1472,5,Common
1473,5,Gleaming
1474,5,Gleaming
1475,5,Common
1476,5,Common
1477,3,Gleaming
1478,4,Common
1479,5,Gleaming
1480,5,Common
1481,5,Gleaming
1482,6,Common
1483,7,Common
1484,5,Common
1485,6,Common
1486,9,Gleaming
1487,3,Common
1488,6,Common
1489,5,Common
1490,7,Common
1491,5,Enchanting
1492,5,Common
1492,5,Common
1493,5,Gleaming
1494,5,Gleaming
1495,5,Enchanting
1496,5,Gleaming
1497,7,Common
1498,5,Common
1499,5,Gleaming
1500,5,Gleaming
1501,5,Enchanting
1502,4,Common
1503,6,Common
1504,5,Gleaming
1505,5,Gleaming
1506,5,Gleaming
1506,5,Gleaming
1507,5,Gleaming
1508,5,Common
1509,6,Common
1510,6,Common
1511,5,Gleaming
1512,5,Gleaming
1513,8,Common
1514,4,Common
1515,5,Common
1516,4,Common
1517,6,Common
1518,9,Enchanting
1519,6,Common
1520,5,Common
1521,5,Gleaming
1522,5,Gleaming
1523,5,Gleaming
1524,5,Gleaming
1525,5,Gleaming
1526,5,Common
1527,5,Common
1528,4,Common
1529,8,Enchanting
1530,5,Gleaming
1531,5,Gleaming
1532,8,Common
1533,7,Common
1534,5,Common
1535,5,Gleaming
1536,6,Common
1537,6,Common
1538,5,Common
1539,7,Common
1540,5,Gleaming
1541,7,Common
1542,5,Gleaming
1543,5,Common
1544,5,Gleaming
1545,6,Common
1546,5,Common
1547,5,Gleaming
1548,5,Gleaming
1549,6,Common
1550,6,Common
1551,7,Common
1552,5,Common
1553,1,Common
1554,5,Common
1555,7,Gleaming
1556,6,Common
1557,5,Common
1558,5,Common
1559,7,Common
1560,5,Gleaming
1561,6,Common
1562,6,Common
1563,6,Common
1564,5,Gleaming
1565,5,Gleaming
1566,5,Common
1567,5,Enchanting
1568,5,Common
1569,5,Common
1570,5,Common
1571,6,Common
1572,6,Common
1573,7,Common
1574,5,Common
1575,5,Gleaming
1576,7,Common
1577,6,Gleaming
1578,5,Gleaming
1579,5,Common
1580,5,Common
1581,5,Gleaming
1582,5,Common
1583,5,Common
1584,5,Gleaming
1585,5,Common
1586,8,Common
1587,5,Enchanting
1588,5,Gleaming
1588,5,Gleaming
1589,5,Gleaming
1590,5,Common
1591,5,Gleaming
1592,6,Common
1593,6,Common
1594,5,Common
1595,9,Gleaming
1596,5,Gleaming
1597,5,Common
1598,3,Common
1599,7,Common
1600,8,Common
1601,5,Gleaming
1602,5,Common
1603,5,Gleaming
1604,5,Gleaming
1605,6,Common
1606,5,Common
1607,5,Common
1608,5,Gleaming
1609,6,Common
1610,6,Common
1611,5,Gleaming
1612,5,Common
1613,6,Common
1613,6,Common
1614,5,Gleaming
1615,6,Common
1616,5,Common
1617,4,Common
