DI,TradeValue,RealmType,Enclave,LivingQuarters,ParcelSize,ParcelSizeUnit
32,173000.0,Meadowlands,Crystalhollow,1255.0,10457.0,sqft
33,212700.0,AetherIsles,Wyverncliff,1055.0,8640.0,sqft
34,159000.0,Meadowlands,Crystalhollow,1870.0,7700.0,sqft
35,191000.0,Meadowlands,Dreamweaver,1156.0,3182.0,sqft
36,82000.0,Meadowlands,Shadowmere,886.0,6040.0,sqft
37,209200.0,GnomeBurough,Crystalhollow,1033.0,8940.0,sqft
38,104500.0,GnomeBurough,Wolfsbane,1003.0,2665.0,sqft
39,243500.0,Meadowlands,Nighthaven,1919.0,10791.0,sqft
40,97500.0,Meadowlands,Dragonspire,1121.0,17503.0,sqft
41,239500.0,Meadowlands,Riverbend,1333.0,8013.0,sqft
42,153000.0,Meadowlands,Dragonspire,864.0,10152.0,sqft
43,140000.0,Meadowlands,Sunspire,697.0,16269.0,sqft
44,318750.0,Meadowlands,Mossheart,1303.0,14694.0,sqft
45,148000.0,GnomeBurough,Shadowmere,824.0,3675.0,sqft
46,210000.0,Meadowlands,Nighthaven,1594.0,13175.0,sqft
47,108000.0,GnomeBurough,Stormwatch,1283.0,7425.0,sqft
48,441929.0,Meadowlands,Riverbend,1718.0,14082.0,sqft
49,188000.0,Meadowlands,Duskwood,1275.0,8000.0,sqft
50,110.0,Meadowlands,Dragonspire,594.0,0.07677,sqft
51,59000.0,Meadowlands,Petalbridge,460.0,5400.0,sqft
52,150000.0,Meadowlands,Stormhold,1993.0,10890.0,sqft
53,169000.0,Meadowlands,Stormhold,1882.0,9638.0,sqft
54,260400.0,Meadowlands,Glimmerwood,1323.0,10593.0,sqft
55,172000.0,Meadowlands,Dragonspire,1269.0,10090.0,sqft
56,370967.0,Meadowlands,Silverglen,1384.0,8232.0,sqft
57,180500.0,Meadowlands,Mossheart,,9600.0,sqft
58,119500.0,Meadowlands,Dragonspire,730.0,906.547474,sqm
59,556581.0,Meadowlands,Riverbend,2206.0,16056.0,sqft
60,148000.0,Meadowlands,Dragonspire,903.0,7635.0,sqft
61,100000.0,Meadowlands,Stormhold,1070.0,9900.0,sqft
62,149.0,GnomeBurough,Sunspire,652.0,0.04438,sqft
63,186500.0,Meadowlands,Duskwood,1378.0,10261.0,sqft
64,133000.0,Meadowlands,Dragonspire,1213.0,9490.0,sqft
65,171500.0,Meadowlands,Shadowmere,1083.0,7023.0,sqft
66,176000.0,Meadowlands,Nighthaven,1521.0,9900.0,sqft
67,202000.0,Meadowlands,Duskwood,1366.0,9783.0,sqft
68,123900.0,GnomeBurough,Stormwatch,,6240.0,sqft
69,250000.0,Meadowlands,Thornfield,1582.0,11500.0,sqft
70,83500.0,GnomeBurough,Wolfsbane,839.0,1974.0,sqft
71,199500.0,Meadowlands,Duskwood,1018.0,18494.0,sqft
72,115000.0,ArcaneMarket,Mystvale,1073.0,836.127,sqm
73,157500.0,Meadowlands,Sunspire,1067.0,8340.0,sqft
74,163000.0,Meadowlands,Sunspire,1198.0,14330.0,sqft
75,149900.0,Meadowlands,Sunspire,687.0,9800.0,sqft
76,145000.0,GnomeBurough,Shadowmere,824.0,3675.0,sqft
77,274300.0,Meadowlands,Sunspire,1613.0,9750.0,sqft
78,290000.0,Meadowlands,glimmerwood,1943.0,10120.0,sqft
79,192100.0,Meadowlands,Dragonspire,1423.0,11727.0,sqft
80,137500.0,Meadowlands,Thornfield,907.0,11600.0,sqft
81,302000.0,Meadowlands,Glimmerwood,,9572.0,sqft
82,135000.0,GnomeBurough,Petalbridge,903.0,9000.0,sqft
83,142953.0,Meadowlands,Brightforge,1723.0,7018.0,sqft
84,137500.0,Meadowlands,Ravenstone,1033.0,14375.0,sqft
85,12789.0,GnomeBurough,Petalbridge,639.0,9656.0,sqft
86,196500.0,Meadowlands,Nighthaven,1318.0,10421.0,sqft
87,140000.0,Meadowlands,Dragonspire,856.0,9900.0,sqft
88,223000.0,AetherIsles,Wyverncliff,1376.0,10646.0,sqft
89,113700.0,GnomeBurough,Starfall,936.0,2058.0,sqft
90,177439.0,Meadowlands,Sunspire,1043.0,10616.0,sqft
91,277000.0,Meadowlands,Windwhisper,1649.0,159000.0,sqft
92,147000.0,Meadowlands,Dragonspire,701.0,8872.0,sqft
93,169000.0,Meadowlands,Crystalhollow,972.0,15300.0,sqft
94,260.261,Meadowlands,Wyverncliff,1186.0,0.1183,sqft
95,98000.0,Meadowlands,Shadowmere,1176.0,8405.0,sqft
96,390000.0,Meadowlands,Silverglen,2113.0,13418.0,sqft
97,139400.0,GnomeBurough,Mystvale,852.0,7449.0,sqft
98,350000.0,Meadowlands,Silverglen,,14277.0,sqft
99,552000.0,Meadowlands,Silverglen,1916.0,14836.0,sqft
100,200000.0,Meadowlands,Sunspire,1307.0,9135.0,sqft
101,124500.0,Meadowlands,Dragonspire,800.0,9600.0,sqft
102,755000.0,Meadowlands,Glimmerwood,3319.0,21535.0,sqft
103,108000.0,Meadowlands,Emberfall,516.0,10200.0,sqft
104,297000.0,Meadowlands,Sunspire,1321.0,10637.0,sqft
105,123000.0,Meadowlands,Dragonspire,692.0,7838.0,sqft
106,183000.0,Meadowlands,Dragonspire,1363.0,10800.0,sqft
107,162000.0,Meadowlands,Nighthaven,1073.0,12936.0,sqft
108,221000.0,AetherIsles,Wyverncliff,1206.0,7180.0,sqft
109,97500.0,Meadowlands,Dragonspire,672.0,7200.0,sqft
110,168000.0,Meadowlands,Duskwood,1209.0,10364.0,sqft
111,110000.0,GnomeBurough,Mystvale,851.0,9140.0,sqft
112,110000.0,Meadowlands,Shadowmere,836.0,8308.0,sqft
113,138000.0,Meadowlands,Thornfield,1233.0,9650.0,sqft
114,183200.0,Meadowlands,Duskwood,1160.0,7861.0,sqft
115,404000.0,Meadowlands,Silverglen,1553.0,12350.0,sqft
116,146000.0,Meadowlands,Dragonspire,923.0,9230.0,sqft
117,185000.0,Meadowlands,Duskwood,1264.0,9649.0,sqft
118,154400.0,Meadowlands,Shadowmere,1260.0,9350.0,sqft
119,136300.0,Meadowlands,Dragonspire,1365.0,10600.0,sqft
120,284000.0,Meadowlands,Silverglen,1253.0,10655.0,sqft
121,99500.0,GnomeBurough,Mystvale,1011.0,4330.0,sqft
122,98500.0,Meadowlands,Shadowmere,919.0,8741.0,sqft
123,153000.0,Meadowlands,Dragonspire,1169.0,9600.0,sqft
124,107000.0,Meadowlands,Shadowmere,1283.0,8707.0,sqft
125,297900.0,Meadowlands,Wyverncliff,1441.0,9428.0,sqft
126,179200.0,Meadowlands,Brightforge,995.0,7153.0,sqft
127,170000.0,Meadowlands,Riverbend,,3696.0,sqft
128,86000.0,GnomeBurough,Wolfsbane,484.0,1526.0,sqft
129,105000.0,Meadowlands,Shadowmere,967.0,9060.0,sqft
130,285000.0,Meadowlands,Glimmerwood,1711.0,11134.0,sqft
131,212000.0,Meadowlands,Riverbend,1155.0,6820.0,sqft
132,274725.0,Meadowlands,Duskwood,1554.0,23257.0,sqft
133,120000.0,GnomeBurough,Petalbridge,,9576.0,sqft
134,198000.0,Meadowlands,Thornfield,1490.0,11700.0,sqft
135,138500.0,Meadowlands,Dragonspire,698.0,12172.0,sqft
136,164990.0,Meadowlands,Sunspire,1007.0,8767.0,sqft
137,145000.0,Meadowlands,Dragonspire,,8400.0,sqft
138,153337.0,Meadowlands,Brightforge,941.0,7018.0,sqft
139,171000.0,Meadowlands,Brightforge,1203.0,8400.0,sqft
140,183600.0,Meadowlands,Sunspire,929.0,7488.0,sqft
141,189000.0,Meadowlands,Duskwood,1252.0,8400.0,sqft
141,189000.0,Meadowlands,Duskwood,1252.0,8400.0,sqft
142,392000.0,Meadowlands,Ravenstone,1403.0,12633.0,sqft
143,181755.0,Meadowlands,Duskwood,1150.0,15810.0,sqft
144,188000.0,Meadowlands,Verdantia,796.0,3640.0,sqft
145,284000.0,Meadowlands,Silverglen,1573.0,10625.0,sqft
146,207000.0,Meadowlands,Sunspire,1069.0,8810.0,sqft
147,178900.0,Meadowlands,Nighthaven,1443.0,8000.0,sqft
148,129850.0,GnomeBurough,Mystvale,1231.0,7288.0,sqft
149,196500.0,Meadowlands,Sunspire,1323.0,11645.0,sqft
150,372000.0,Meadowlands,Silverglen,1386.0,13615.0,sqft
151,181316.0,Meadowlands,Duskwood,1166.0,8803.0,sqft
152,131000.0,Meadowlands,Dragonspire,775.0,6860.0,sqft
153,336820.0,Meadowlands,Wyverncliff,1284.0,15218.0,sqft
154,250000.0,Meadowlands,Silverglen,1406.0,10732.0,sqft
155,135500.0,GnomeBurough,Petalbridge,738.0,6000.0,sqft
155,135500.0,GnomeBurough,Petalbridge,738.0,6000.0,sqft
156,139500.0,Meadowlands,Stormhold,1145.0,9900.0,sqft
156,139500.0,Meadowlands,Stormhold,1145.0,9900.0,sqft
157,356000.0,Meadowlands,Silverglen,1396.0,12469.0,sqft
158,112000.0,Meadowlands,Shadowmere,1035.0,11767.0,sqft
159,165000.0,Meadowlands,Emberfall,784.0,14149.0,sqft
160,255900.0,Meadowlands,Sunspire,1761.0,11250.0,sqft
161,137900.0,Meadowlands,Dragonspire,1643.0,10680.0,sqft
162,194000.0,Meadowlands,Thornfield,1320.0,12400.0,sqft
163,164000.0,Meadowlands,Duskwood,1347.0,12134.0,sqft
164,145000.0,Meadowlands,Dragonspire,723.0,8604.0,sqft
165,238500.0,AetherIsles,Wyverncliff,1113.0,7500.0,sqft
166,230000.0,Meadowlands,Sunspire,1272.0,8125.0,sqft
167,64000.0,Meadowlands,Shadowmere,861.0,11792.0,sqft
168,160500.0,Meadowlands,Emberfall,799.0,7176.0,sqft
169,118900.0,Meadowlands,Dragonspire,563.0,7200.0,sqft
170,168000.0,Meadowlands,Emberfall,1105.0,14175.0,sqft
171,111250.0,Meadowlands,Dragonspire,664.0,12735.0,sqft
172,335000.0,Meadowlands,Silverglen,1679.0,11308.0,sqft
173,212000.0,Meadowlands,Sunspire,1359.0,10769.0,sqft
174,104000.0,Meadowlands,Thornfield,839.0,7801.0,sqft
175,226750.0,Meadowlands,Duskwood,1455.0,8220.0,sqft
176,128000.0,Meadowlands,Brightforge,973.0,8012.0,sqft
177,260000.0,Meadowlands,Shadowmere,1167.0,19550.0,sqft
178,197500.0,Meadowlands,Nighthaven,1436.0,10304.0,sqft
179,174000.0,Meadowlands,Ravenstone,953.0,10331.0,sqft
180,148000.0,Meadowlands,Emberfall,,11235.0,sqft
181,88000.0,Meadowlands,Dragonspire,659.0,8125.0,sqft
182,201800.0,Meadowlands,Dragonspire,1399.0,13700.0,sqft
183,274900.0,Meadowlands,Silverglen,1317.0,9591.0,sqft
184,127500.0,Meadowlands,Shadowmere,778.0,7840.0,sqft
185,167900.0,Meadowlands,Nighthaven,858.0,10140.0,sqft
186,146000.0,Meadowlands,Sunspire,761.0,8428.0,sqft
187,135000.0,Meadowlands,Stormhold,1523.0,7804.0,sqft
188,228000.0,Meadowlands,Brightforge,1613.0,11228.0,sqft
189,109900.0,Meadowlands,Emberfall,695.0,7162.0,sqft
190,147000.0,Meadowlands,Cloudrest,1190.0,2364.0,sqft
191,200000.0,Meadowlands,Dragonspire,1270.0,22002.0,sqft
192,227000.0,Meadowlands,Nighthaven,1280.0,8400.0,sqft
193,107000.0,GnomeBurough,Petalbridge,1021.0,9906.0,sqft
194,52500.0,GnomeBurough,Petalbridge,533.0,4118.0,sqft
195,145000.0,CitadelQuarter,Thornfield,1506.0,7136.0,sqft
196,147000.0,Meadowlands,Sunspire,789.0,10970.0,sqft
197,260000.0,Meadowlands,Brightforge,2164.0,9771.0,sqft
198,207500.0,Meadowlands,Riverbend,1607.0,5062.0,sqft
199,195500.0,Meadowlands,Duskwood,1226.0,10125.0,sqft
200,112000.0,Meadowlands,Shadowmere,738.0,8926.0,sqft
201,176000.0,Meadowlands,Nighthaven,1137.0,12090.0,sqft
202,275000.0,Meadowlands,Wyverncliff,1304.0,11194.0,sqft
203,170000.0,Meadowlands,Nighthaven,902.0,10625.0,sqft
204,127500.0,Meadowlands,Shadowmere,753.0,9400.0,sqft
205,213750.0,Meadowlands,Verdantia,996.0,3840.0,sqft
206,159000.0,Meadowlands,Dragonspire,1333.0,9786.0,sqft
207,500000.0,Meadowlands,Silverglen,2073.0,14300.0,sqft
208,212500.0,Meadowlands,Silverglen,1044.0,10307.0,sqft
209,260000.0,Meadowlands,Glimmerwood,1859.0,16059.0,sqft
210,100000.0,GnomeBurough,Stormwatch,1000.0,-6911.0,sqft
211,127500.0,GnomeBurough,Petalbridge,1237.0,4347.0,sqft
212,188000.0,Meadowlands,Sunspire,1326.0,8924.0,sqft
213,116900.0,GnomeBurough,PETALBRIDGE,854.0,5700.0,sqft
214,246578.0,Meadowlands,Dreamweaver,1153.0,4045.0,sqft
215,430000.0,Meadowlands,Glimmerwood,2483.0,12692.0,sqft
216,194500.0,Meadowlands,Sunspire,947.0,7314.0,sqft
217,260000.0,Meadowlands,Glimmerwood,2035.0,9900.0,sqft
218,167000.0,Meadowlands,Dragonspire,1568.0,21299.0,sqft
219,116500.0,GnomeBurough,Oakenshade,793.0,1879.0,sqft
220,248328.0,Meadowlands,Wyverncliff,1299.0,9849.0,sqft
221,185000.0,AetherIsles,Wyverncliff,970.0,7200.0,sqft
222,180000.0,AetherIsles,Wyverncliff,1163.0,2998.0,sqft
223,133000.0,GnomeBurough,Sunspire,652.0,4435.0,sqft
224,181000.0,CitadelQuarter,Dragonspire,1028.0,4060.0,sqft
225,350000.0,Meadowlands,Glimmerwood,1625.0,10437.0,sqft
226,376162.0,Meadowlands,Silverglen,1795.0,12858.0,sqft
227,184900.0,GnomeBurough,Petalbridge,1363.0,10337.0,sqft
228,180500.0,Meadowlands,Dragonspire,,14112.0,sqft
229,109900.0,GnomeBurough,Mystvale,919.0,4800.0,sqft
230,103400.0,GnomeBurough,Starfall,759.0,1680.0,sqft
231,139000.0,Meadowlands,Dragonspires,732.0,7350.0,sqft
232,82500.0,Meadowlands,SHADOWMERE,662.0,12342.0,sqft
233,475000.0,GnomeBurough,Petalbridge,2775.0,22950.0,sqft
234,182000.0,Meadowlands,Brightforges,1237.0,-8453.0,sqft
235,171500.0,Meadowlands,Brightforge,1330.0,7703.0,sqft
236,110000.0,GnomeBurough,Petalbridge,946.0,10440.0,sqft
237,87500.0,GnomeBurough,Petalbridge,1161.0,9600.0,sqft
238,190000.0,Meadowlands,Nighthaven,1210.0,18800.0,sqft
239,138800.0,Meadowlands,Dragonspire,843.0,15870.0,sqft
240,129500.0,Meadowlands,Emberfall,759.0,9100.0,sqft
241,268500.0,Meadowlands,Sunspire,1703.0,10566.0,sqft
242,255000.0,Meadowlands,Nighthaven,1596.0,10530.0,sqft
243,168000.0,Meadowlands,Stormhold,1095.0,7290.0,sqft
244,183850.0,Meadowlands,Shadowmere,3919.0,39290.0,sqft
245,135000.0,Meadowlands,Thornfield,1123.0,7155.0,sqft
246,149500.0,AetherIsles,Wyverncliff,923.0,2544.0,sqft
247,127000.0,Meadowlands,Stormwatch,,7438.0,sqft
248,258000.0,Meadowlands,Duskwood,1825.0,11631.0,sqft
249,301000.0,AetherIsles,Wyverncliff,1575.0,8010.0,sqft
250,240000.0,Meadowlands,Windwhisper,1502.0,53107.0,sqft
251,130000.0,Meadowlands,Dragonspire,664.0,7130.0,sqft
252,178000.0,Meadowlands,Duskwood,1087.0,9056.0,sqft
253,88750.0,Meadowlands,Emberfall,541.0,4280.0,sqft
254,152000.0,Meadowlands,Nighthaven,1246.0,10793.0,sqft
255,135000.0,Meadowlands,Emberfall,950.0,6993.0,sqft
256,168500.0,Meadowlands,Dragonspire,1038.0,9020.0,sqft
257,226000.0,AetherIsles,Wyverncliff,1483.0,7050.0,sqft
258,143000.0,Meadowlands,Dragonspire,807.0,8510.0,sqft
259,79000.0,CitadelQuarter,Shadowmere,595.0,4270.0,sqft
260,137900.0,Meadowlands,Cloudrest,1119.0,2349.0,sqft
261,124000.0,Meadowlands,Shadowmere,1238.0,18600.0,sqft
262,164500.0,Meadowlands,Emberfall,1015.0,11777.0,sqft
263,155000.0,Meadowlands,Cloudrest,1190.0,2308.0,sqft
264,213000.0,Meadowlands,Brightforge,1365.0,9317.0,sqft
265,137900.0,Meadowlands,Emberfall,686.0,7800.0,sqft
266,138000.0,Meadowlands,Dragonspire,1464.0,7200.0,sqft
267,132000.0,Meadowlands,Emberfall,718.0,10366.0,sqft
268,122000.0,GnomeBurough,Petalbridge,1453.0,10120.0,sqft
269,148400.0,Meadowlands,Windwhisper,1307.0,1700.0,sqft
270,215000.0,Meadowlands,Dreamweaver,1119.0,3196.0,sqft
271,193000.0,Meadowlands,Sunspire,1376.0,9179.0,sqft
272,316500.0,Meadowlands,Ravenstone,1262.0,14463.0,sqft
273,205000.0,Meadowlands,Sunspire,1185.0,13704.0,sqft
274,294000.0,Meadowlands,ravenstone,1182.0,11563.0,sqft
275,139400.0,Meadowlands,Dragonspire,812.0,9250.0,sqft
276,236500.0,Meadowlands,Riverbend,1243.0,5389.0,sqft
277,91900.0,Meadowlands,Shadowmere,603.0,6931.0,sqft
278,150900.0,Meadowlands,Crystalhollow,1329.0,12640.0,sqft
279,135000.0,Meadowlands,Emberfall,977.0,21286.0,sqft
280,208000.0,Meadowlands,Thornfield,1524.0,13607.0,sqft
281,285000.0,Meadowlands,Sunspire,1283.0,11248.0,sqft
282,198900.0,Meadowlands,Sunspire,943.0,10402.0,sqft
283,102900.0,Meadowlands,Dragonspire,930.0,9533.0,sqft
284,177000.0,CitadelQuarter,Dragonspire,1028.0,10943.0,sqft
285,174850.0,Meadowlands,Dragonspire,1323.0,9736.0,sqft
286,64500.0,Meadowlands,Stormwatch,,5000.0,sqft
287,134500.0,Meadowlands,Crystalhollow,649.0,6600.0,sqft
288,153900.0,Meadowlands,Brightforge,922.0,7892.0,sqft
289,158000.0,Meadowlands,Emberfall,891.0,11553.0,sqft
290,230000.0,Meadowlands,Sunspire,1380.0,9742.0,sqft
291,160000.0,Meadowlands,Dragonspire,962.0,8800.0,sqft
292,118000.0,Meadowlands,Shadowmere,536.0,9405.0,sqft
293,108000.0,Meadowlands,Shadowmere,993.0,5142.0,sqft
294,184500.0,Meadowlands,Silverglen,1004.0,5122.0,sqft
295,217000.0,Meadowlands,Sunspire,1348.0,12352.0,sqft
296,149000.0,Meadowlands,Stormwatch,1101.0,6615.0,sqft
297,191000.0,Meadowlands,Sunspire,,8750.0,sqft
298,110000.0,Meadowlands,Dragonspire,686.0,9477.0,sqft
299,226700.0,AetherIsles,Wyverncliff,1359.0,9803.0,sqft
300,72000.0,GnomeBurough,Mystvale,516.0,8534.0,sqft
301,192140.0,Meadowlands,Duskwood,1413.0,21930.0,sqft
302,168500.0,Meadowlands,Duskwood,1133.0,8530.0,sqft
303,261329.0,AetherIsles,Wyverncliff,1218.0,10440.0,sqft
304,159434.0,CitadelQuarter,Stormhold,,4500.0,sqft
305,133500.0,Meadowlands,Dragonspire,773.0,11050.0,sqft
306,177000.0,AetherIsles,Wyverncliff,1173.0,2117.0,sqft
307,249700.0,AetherIsles,Wyverncliff,1273.0,11096.0,sqft
308,93369.0,ArcaneMarket,Stormhold,1449.0,6449.0,sqft
309,610000.0,Meadowlands,Silverglen,2056.0,13693.0,sqft
310,159000.0,Meadowlands,Dragonspire,1072.0,9500.0,sqft
311,181900.0,Meadowlands,Nighthaven,969.0,10825.0,sqft
312,155000.0,GnomeBurough,Petalbridge,1618.0,6300.0,sqft
313,105000.0,GnomeBurough,Wolfsbane,759.0,1974.0,sqft
314,158000.0,Meadowlands,Emberfall,2041.0,16779.0,sqft
315,132500.0,Meadowlands,Dragonspire,915.0,7728.0,sqft
316,114000.0,Meadowlands,Shadowmere,998.0,11200.0,sqft
317,139000.0,Meadowlands,Emberfall,862.0,8816.0,sqft
318,150000.0,GnomeBurough,Stormwatch,1545.0,6240.0,sqft
319,174000.0,Meadowlands,Duskwood,1139.0,8125.0,sqft
320,83000.0,GnomeBurough,Starfall,759.0,1953.0,sqft
321,145000.0,Meadowlands,Crystalhollow,1279.0,8385.0,sqft
322,280000.0,Meadowlands,Silverglen,,14154.0,sqft
323,113500.0,Meadowlands,Emberfall,809.0,11625.0,sqft
324,151000.0,Meadowlands,Emberfall,932.0,8471.0,sqft
325,108000.0,Meadowlands,Shadowmere,866.0,8777.0,sqft
326,97000.0,GnomeBurough,Petalbridge,678.0,12702.0,sqft
327,110000.0,Meadowlands,Shadowmere,906.0,8240.0,sqft
328,184000.0,Meadowlands,Nighthaven,1313.0,11088.0,sqft
329,150909.0,GnomeBurough,Mystvale,1406.0,9060.0,sqft
330,230000.0,Meadowlands,Thornfield,,11435.0,sqft
331,123000.0,Meadowlands,Sunspire,687.0,7200.0,sqft
332,109500.0,GnomeBurough,Petalbridge,719.0,4485.0,sqft
333,133500.0,Meadowlands,Sunspire,664.0,15523.0,sqft
334,177000.0,Meadowlands,Thornfield,1292.0,15576.0,sqft
335,377426.0,Meadowlands,Riverbend,1478.0,14157.0,sqft
336,203135.0,Meadowlands,Thornfield,1270.0,19645.0,sqft
337,128500.0,GnomeBurough,Petalbridge,1063.0,12358.0,sqft
338,215700.0,Meadowlands,Sunspire,1362.0,13142.0,sqft
339,165000.0,Meadowlands,Duskwood,1130.0,8139.0,sqft
340,157500.0,Meadowlands,Dragonspire,787.0,10533.0,sqft
341,111500.0,GnomeBurough,Petalbridge,649.0,5633.0,sqft
342,130000.0,GnomeBurough,Shadowmere,1313.0,3363.0,sqft
343,80000.0,Meadowlands,Petalbridge,1353.0,10818.0,sqft
344,162000.0,Meadowlands,Brightforge,816.0,10778.0,sqft
345,115000.0,GnomeBurough,Stormwatch,765.0,6120.0,sqft
346,185000.0,Meadowlands,Duskwood,1487.0,11900.0,sqft
347,372500.0,Meadowlands,Riverbend,1573.0,11844.0,sqft
348,130000.0,Meadowlands,DRAGONSPIRE,1046.0,7134.0,sqft
349,280000.0,Meadowlands,Silverglen,1412.0,11362.0,sqft
350,294900.0,Meadowlands,Sunspire,1223.0,11645.0,sqft
351,111900.0,Meadowlands,Dragonspire,719.0,-10295.0,sqft
352,146000.0,Meadowlands,Dragonspire,1403.0,12436.0,sqft
353,79500.0,GnomeBurough,Wolfsbane,839.0,1526.0,sqft
354,71000.0,GnomeBurough,Wolfsbane,839.0,1894.0,sqft
355,190000.0,AetherIsles,Wyverncliff,1292.0,3515.0,sqft
356,84500.0,Meadowlands,Crystalhollow,876.0,17217.0,sqft
357,745000.0,Meadowlands,Glimmerwood,3443.0,15623.0,sqft
358,135000.0,Meadowlands,Dragonspire,818.0,10950.0,sqft
359,156820.0,Meadowlands,Dreamweaver,878.0,3010.0,sqft
360,76000.0,CitadelQuarter,Brightforge,603.0,9000.0,sqft
361,107500.0,Meadowlands,Shadowmere,1036.0,7000.0,sqft
362,141000.0,Meadowlands,Dragonspire,1384.0,8000.0,sqft
363,140000.0,Meadowlands,Nighthaven,895.0,9600.0,sqft
364,139900.0,Meadowlands,Dragonspire,1093.0,12342.0,sqft
365,180000.0,Meadowlands,Nighthaven,1171.0,11361.0,sqft
366,128600.0,Meadowlands,Dragonspire,1199.0,8078.0,sqft
367,241500.0,Meadowlands,Nighthaven,1439.0,10400.0,sqft
368,108959.0,Meadowlands,Emberfall,967.0,12900.0,sqft
369,87500.0,Meadowlands,Dragonspire,799.0,8544.0,sqft
370,382500.0,Meadowlands,Silverglen,,15262.0,sqft
371,64000.0,GnomeBurough,Petalbridge,516.0,4800.0,sqft
372,134000.0,GnomeBurough,Wolfsbane,878.0,4224.0,sqft
373,135960.0,Meadowlands,Dragonspire,725.0,7032.0,sqft
374,128500.0,Meadowlands,Cloudrest,643.0,2104.0,sqft
375,183900.0,AetherIsles,Wyverncliff,1116.0,3735.0,sqft
376,241600.0,Meadowlands,Mossheart,1338.0,15417.0,sqft
377,127000.0,Meadowlands,Sunspire,664.0,7200.0,sqft
378,383000.0,Meadowlands,Silverglen,1499.0,14418.0,sqft
379,344133.0,Meadowlands,Silverglen,1733.0,12867.0,sqft
380,193000.0,Meadowlands,Brightforge,1243.0,8012.0,sqft
381,124900.0,Meadowlands,Sunspire,599.0,7200.0,sqft
382,127000.0,Meadowlands,Emberfall,799.0,6897.0,sqft
383,162500.0,Meadowlands,Stormwatch,1319.0,9144.0,sqft
384,175000.0,Meadowlands,Emberfall,1126.0,12886.0,sqft
385,183500.0,Meadowlands,Duskwood,1173.0,8238.0,sqft
386,204500.0,AetherIsles,Wyverncliff,936.0,9215.0,sqft
387,149900.0,Meadowlands,Sunspire,757.0,8385.0,sqft
388,132000.0,GnomeBurough,Stormwatch,1117.0,6360.0,sqft
389,119600.0,ArcaneMarket,Mystvale,1531.0,8250.0,sqft
390,287500.0,Meadowlands,Glimmerwood,1689.0,10010.0,sqft
391,118964.0,Meadowlands,Brightforge,1180.0,7018.0,sqft
392,147500.0,Meadowlands,Thornfield,947.0,8574.0,sqft
393,306000.0,Meadowlands,Nighthaven,1799.0,14311.0,sqft
394,170000.0,Meadowlands,Emberfall,1368.0,17920.0,sqft
395,163500.0,Meadowlands,Dragonspire,1274.0,12155.0,sqft
396,159500.0,GnomeBurough,Petalbridge,,10800.0,sqft
397,206000.0,Meadowlands,Verdantia,943.0,3880.0,sqft
398,224243.0,Meadowlands,Brightforge,1115.0,7328.0,sqft
399,179600.0,Meadowlands,Sunspire,,8500.0,sqft
400,244600.0,Meadowlands,Wyverncliff,1129.0,9612.0,sqft
401,143000.0,GnomeBurough,Sunspire,652.0,4426.0,sqft
